fare_amount_bin,avg_tip
22.49,0.0
22.58,0.0
22.66,0.0
22.68,0.0
22.81,0.0
22.85,0.59125
22.86,0.52555555
22.87,0.0
23.0,4.058266
23.09,0.9883333
23.13,0.0
23.22,0.0
23.25,0.0
23.33,0.8584615
23.38,0.0
23.39,0.1311111
23.45,0.0
23.88,0.0
23.93,0.0
23.94,0.0
23.97,0.0
24.39,0.0
24.46,0.0
24.61,0.0
24.66,0.0
24.76,0.0
24.82,0.0
24.9,1.0666667
24.91,0.0
24.98,0.0
25.01,0.0
25.26,1.8371428
25.36,0.0
25.4,0.7428571
25.41,0.0
25.47,0.0
25.49,0.0
25.51,0.0
25.54,0.54833335
25.57,0.0
25.6,3.55
25.63,0.0
25.72,0.0
25.89,0.8733333
26.15,0.0
26.18,0.0
26.34,0.0
26.58,0.0
26.76,1.8044444
26.82,1.35
26.85,0.23608695
27.02,0.0
27.08,0.0
27.15,0.0
27.28,0.78
27.33,0.0
27.58,0.0
27.71,0.0
27.91,0.0
28.16,0.0
28.18,0.0
28.26,2.375
28.38,0.0
28.39,0.0
28.56,2.039
28.6,0.0
28.62,0.0
28.77,0.0
28.87,0.0
28.96,0.0
29.04,0.0
29.12,0.0
29.24,0.0
29.26,0.98333335
29.32,0.0
29.33,0.0
29.34,0.0
29.39,0.0
29.43,0.0
29.45,0.0
29.57,0.0
29.59,0.0
29.72,0.0
29.84,0.0
29.86,0.0
29.92,0.0
30.03,0.0
30.14,0.0
30.23,0.0
30.44,0.0
30.56,4.895
30.69,0.0
30.73,0.0
30.85,0.0
30.87,0.0
30.97,0.0
30.99,0.0
31.02,0.0
31.06,4.490714
31.09,0.0
31.25,0.0
31.33,0.0
31.35,0.0
31.39,0.0
31.47,0.0
31.53,0.0
31.55,0.635
31.68,0.0
31.95,0.0
31.98,0.0
32.19,0.0
32.25,0.8333333
32.52,0.0
32.58,2.2266667
32.59,0.0
32.61,0.0
32.76,1.8875
32.9,0.0
32.93,0.0
33.01,0.0
33.03,0.0
33.11,0.60999995
33.24,0.0
33.27,0.0
33.28,0.0
33.32,0.0
33.43,0.0
33.53,0.0
33.67,0.0
33.7,0.33333334
33.99,0.0
34.01,0.0
34.14,0.0
34.6,0.0
34.65,0.0
34.68,0.0
34.71,0.0
34.72,0.0
34.76,0.875
34.77,0.0
34.78,0.0
34.84,0.0
34.94,0.0
35.03,0.0
35.1,0.0
35.18,0.0
35.19,0.0
35.27,0.0
35.29,0.59166664
35.39,0.0
35.52,0.0
35.6,1.79125
35.8,6.2508698
35.88,0.0
36.07,0.0
36.08,0.0
36.19,0.0
36.22,0.0
36.29,0.0
36.43,0.0
36.58,1.2
36.61,0.0
36.81,0.0
36.96,0.0
37.21,0.0
37.22,0.0
37.36,0.0
37.72,0.0
37.9,0.0
37.92,0.0
38.11,0.0
38.15,0.0
38.25,5.9366665
39.07,0.0
39.14,0.0
39.18,0.0
39.25,2.1022222
39.36,0.0
39.64,0.0
39.65,0.0
39.8,7.3124323
39.82,0.0
40.09,4.1342854
40.19,0.0
40.2,4.1
40.27,0.0
40.29,0.0
40.59,0.0
40.81,0.0
40.87,0.0
40.93,0.0
40.95,0.0
41.0,7.4592547
41.01,0.0
41.05,1.2925
41.2,2.9
41.37,0.0
41.38,0.0
41.4,0.0
41.42,0.0
41.47,4.175
41.49,0.0
41.52,0.0
41.79,0.0
42.02,0.0
42.03,0.96000004
42.15,0.0
42.27,0.0
42.4,0.0
42.51,0.0
42.52,0.0
42.57,0.0
42.65,0.0
42.77,0.0
42.78,0.0
42.96,0.0
43.01,0.0
43.02,0.0
43.08,0.0
43.26,3.2025
43.3,4.5724
43.37,0.0
43.39,0.0
43.52,0.0
43.68,0.0
43.75,5.649231
43.9,0.0
43.96,0.0
44.03,0.0
44.19,0.0
44.21,0.0
44.28,0.0
44.31,0.0
44.4,0.0
44.43,0.0
44.48,0.0
44.5,7.7556033
44.65,0.0
44.77,0.0
44.9,1.8
45.13,0.0
45.17,0.0
45.41,0.0
45.44,0.0
45.48,0.0
45.55,6.9422727
45.57,0.0
45.62,0.0
45.74,0.0
45.83,0.0
45.95,6.7200003
46.04,0.0
46.08,0.0
46.34,0.0
46.36,1.86
46.72,0.0
46.76,3.35
46.92,0.0
47.11,0.0
47.13,0.0
47.14,0.0
47.15,0.0
47.29,0.0
47.38,0.0
47.49,0.0
47.5,7.9291096
47.53,0.0
47.6,2.395
47.61,0.0
47.64,0.0
47.87,0.0
47.91,0.0
48.05,0.0
48.09,0.0
48.25,3.5625
48.34,0.0
48.49,0.0
48.54,0.0
48.66,3.3333333
48.78,0.0
48.84,0.0
48.93,0.0
48.98,6.38
49.3,7.9307146
49.36,0.0
49.37,0.0
49.44,2.5125
49.86,2.5025
49.88,0.0
49.89,0.0
49.94,0.0
49.98,9.072833
50.03,0.0
50.08,0.0
50.23,0.0
50.33,0.0
50.43,0.0
50.6,0.0
50.7,7.4
50.86,2.066
50.89,0.0
51.07,0.0
51.17,0.0
51.21,0.0
51.32,0.345
51.38,0.0
51.44,0.0
51.75,6.25
52.07,0.0
52.11,0.0
52.23,0.0
52.43,0.0
52.5,8.192753
52.56,9.338823
52.6,2.2866666
52.62,0.0
52.69,0.0
52.82,0.0
52.88,2.5
52.9,0.0
53.21,0.0
53.35,0.0
53.83,0.0
54.03,0.0
54.05,3.3666668
54.19,0.0
54.21,0.0
54.22,0.0
54.26,7.525
54.29,0.0
54.3,10.797857
54.35,0.0
54.53,0.0
54.67,0.0
54.71,0.0
54.73,0.0
54.75,0.0
54.86,0.0
54.91,0.0
54.98,3.7
55.06,6.9483333
55.17,0.0
55.2,6.4
55.21,0.0
55.44,0.0
55.49,0.0
55.51,0.0
55.52,6.15
55.53,0.0
55.58,0.0
55.72,2.825
55.77,0.0
55.8,8.720909
55.85,0.0
55.92,3.7333333
55.94,0.0
55.98,0.0
56.05,0.0
56.1,0.0
56.13,0.0
56.15,0.0
56.49,0.0
56.63,0.0
56.64,0.0
56.68,0.0
56.8,8.86875
56.86,0.0
56.87,0.0
56.9,8.032
57.04,0.0
57.14,0.0
57.19,0.0
57.24,7.5959997
57.33,0.0
57.35,0.0
57.46,3.0
57.51,0.0
57.63,0.0
57.66,5.1633334
57.79,3.9066668
57.86,7.0379996
57.87,0.0
57.91,0.0
57.94,0.0
58.14,0.0
58.15,3.9099998
58.32,8.0
58.44,13.0
58.5,9.075432
58.53,2.205
58.54,2.35
58.63,5.945
58.76,10.468429
58.88,9.265
59.06,10.451818
59.09,10.855
59.14,0.0
59.2,9.777692
59.24,5.16
59.36,0.0
59.49,0.0
59.81,0.0
59.84,12.13
59.95,6.025
60.24,6.625
60.8,8.808048
60.98,0.0
61.05,12.37
61.56,4.4744444
61.98,0.0
62.0,10.079875
62.01,0.0
62.12,0.0
62.18,0.0
62.32,15.78
62.47,0.0
62.77,0.0
62.9,3.75
63.03,12.4383335
63.15,8.07
63.17,0.0
63.19,0.0
63.36,9.240625
63.48,0.0
63.5,10.621787
63.56,7.1078787
63.6,11.72
63.84,10.605715
63.96,0.0
64.05,10.0
64.2,10.518518
64.45,0.0
64.53,9.505
64.55,3.2425
64.57,12.940001
64.6,16.285
64.7,7.7185187
64.75,7.772
65.0,10.932873
65.03,0.0
65.4,0.0
65.78,0.0
66.03,0.0
66.11,0.0
66.31,0.0
66.46,13.35
66.54,8.35
66.56,7.6027274
66.57,0.0
66.75,12.0
66.78,0.0
66.93,0.0
66.97,0.0
67.23,0.0
67.27,0.0
67.4,13.54
67.45,0.0
67.5,11.852947
67.83,13.63
67.85,10.0
67.86,0.0
67.88,14.075
67.98,6.0
68.09,14.247499
68.11,0.0
68.36,11.957143
68.41,0.0
68.5,12.160107
68.66,0.0
68.88,11.506666
68.9,13.851429
69.51,0.0
69.53,0.0
69.55,13.97
69.57,8.0
69.59,0.0
69.88,0.0
70.01,6.4
70.19,0.0
70.31,0.0
70.34,0.0
70.43,0.0
70.5,12.418679
70.56,11.141429
70.64,0.0
70.68,0.0
70.9,0.0
71.5,12.696168
71.9,0.0
72.17,0.0
72.56,12.536
72.65,0.0
73.16,0.0
73.5,13.192802
73.55,0.0
73.84,8.31
74.3,13.065263
74.48,4.0
74.56,9.536
74.73,4.0
74.86,7.5325003
75.01,0.0
75.55,10.668096
75.76,15.286
75.84,0.0
75.88,7.0666666
76.06,12.08
76.11,0.0
76.3,10.496364
77.12,15.45
77.3,12.506667
77.7,15.0
77.82,15.72
78.79,0.0
79.3,10.681539
79.8,11.62875
80.09,0.0
80.52,17.57
81.36,9.9
81.82,16.42
82.25,6.608333
82.26,0.0
82.35,20.65
82.7,9.35
83.22,0.0
83.75,13.548461
84.8,10.302857
84.84,0.0
85.1,0.0
85.75,15.431666
86.55,17.35
87.7,11.08
88.06,18.82
88.29,17.66
88.76,17.91
88.88,13.676667
89.25,17.91
89.51,12.0
89.74,18.01
89.8,11.9
90.0,13.556916
90.04,18.07
90.2,6.3333335
90.26,20.61
91.8,16.36
92.2,18.5
92.3,7.125
92.59,0.0
93.8,16.118
94.05,8.0
94.5,15.733126
96.09,0.0
96.2,5.55
96.75,18.863333
96.97,0.0
97.64,19.55
100.07,0.0
100.22,22.2
100.42,0.0
101.0,16.076418
101.3,0.0
101.4,0.0
101.91,0.0
102.22,0.0
102.6,4.104
102.75,11.655001
103.03,14.973333
103.18,15.0
103.76,7.0
103.91,0.0
104.75,0.0
105.25,15.0
105.3,0.0
106.25,18.408333
107.0,16.96202
107.2,24.0
107.23,21.5
108.0,17.25233
108.2,0.0
108.26,21.7
108.6,21.88
109.01,10.0
109.24,26.05
109.25,18.44
109.6,21.98
109.75,15.635
110.2,0.0
111.11,16.0522
111.55,5.0
111.65,0.0
112.25,15.714286
113.33,17.587143
114.11,0.0
114.5,19.490461
115.09,23.18
